Day,Time,Court,Reserved By
Tuesday,20:00,Court 3,
Tuesday,20:30,Court 3,
Tuesday,21:00,Court 3,
Tuesday,21:30,Court 3,
Tuesday,22:00,Court 3,
Tuesday,22:30,Court 3,
Tuesday,23:00,Court 3,
Tuesday,23:30,Court 3,
Wednesday,09:00,Court 3,
Wednesday,09:30,Court 3,
Wednesday,10:00,Court 3,
Wednesday,10:30,Court 3,
Wednesday,11:00,Court 3,
Wednesday,11:30,Court 3,
Wednesday,12:00,Court 3,
Wednesday,12:30,Court 3,
Wednesday,13:00,Court 3,
Wednesday,13:30,Court 3,
Wednesday,14:00,Court 3,
Wednesday,14:30,Court 3,
Wednesday,15:00,Court 3,
Wednesday,15:30,Court 3,
Wednesday,16:00,Court 3,
Wednesday,16:30,Court 3,
Wednesday,17:00,Court 3,
Wednesday,17:30,Court 3,
Wednesday,18:00,Court 3,
Wednesday,18:30,Court 3,
Wednesday,19:00,Court 3,
Wednesday,19:30,Court 3,
Wednesday,20:00,Court 3,
Wednesday,20:30,Court 3,
Wednesday,21:00,Court 3,
Wednesday,21:30,Court 3,
Wednesday,22:00,Court 3,
Wednesday,22:30,Court 3,
Wednesday,23:00,Court 3,
Wednesday,23:30,Court 3,
Thursday,09:00,Court 3,
Thursday,09:30,Court 3,
Thursday,10:00,Court 3,
Thursday,10:30,Court 3,
Thursday,11:00,Court 3,
Thursday,11:30,Court 3,
Thursday,12:00,Court 3,
Thursday,12:30,Court 3,
Thursday,13:00,Court 3,
Thursday,13:30,Court 3,
Thursday,14:00,Court 3,
Thursday,14:30,Court 3,
Thursday,15:00,Court 3,
Thursday,15:30,Court 3,
Thursday,16:00,Court 3,
Thursday,16:30,Court 3,
Thursday,17:00,Court 3,
Thursday,17:30,Court 3,
Thursday,18:00,Court 3,
Thursday,18:30,Court 3,
Thursday,19:00,Court 3,
Thursday,19:30,Court 3,
Thursday,20:00,Court 3,
Thursday,20:30,Court 3,
Thursday,21:00,Court 3,
Thursday,21:30,Court 3,
Thursday,22:00,Court 3,
Thursday,22:30,Court 3,
Thursday,23:00,Court 3,
Thursday,23:30,Court 3,
Friday,09:00,Court 3,
Friday,09:30,Court 3,
Friday,10:00,Court 3,
Friday,10:30,Court 3,
Friday,11:00,Court 3,
Friday,11:30,Court 3,
Friday,12:00,Court 3,
Friday,12:30,Court 3,
Friday,13:00,Court 3,
Friday,13:30,Court 3,
Friday,14:00,Court 3,
Friday,14:30,Court 3,
Friday,15:00,Court 3,
Friday,15:30,Court 3,
Friday,16:00,Court 3,
Friday,16:30,Court 3,
Friday,17:00,Court 3,
Friday,17:30,Court 3,
Friday,18:00,Court 3,
Friday,18:30,Court 3,
Friday,19:00,Court 3,
Friday,19:30,Court 3,
Friday,20:00,Court 3,
Friday,20:30,Court 3,
Friday,21:00,Court 3,
Friday,21:30,Court 3,
Friday,22:00,Court 3,
Friday,22:30,Court 3,
Friday,23:00,Court 3,
Friday,23:30,Court 3,
Saturday,09:00,Court 3,
Saturday,09:30,Court 3,
Saturday,10:00,Court 3,
Saturday,10:30,Court 3,
Saturday,11:00,Court 3,
Saturday,11:30,Court 3,
Saturday,12:00,Court 3,
Saturday,12:30,Court 3,
Saturday,13:00,Court 3,
Saturday,13:30,Court 3,
Saturday,14:00,Court 3,
Saturday,14:30,Court 3,
Saturday,15:00,Court 3,
Saturday,15:30,Court 3,
Saturday,16:00,Court 3,
Saturday,16:30,Court 3,
Saturday,17:00,Court 3,
Saturday,17:30,Court 3,
Saturday,18:00,Court 3,
Saturday,18:30,Court 3,
Saturday,19:00,Court 3,
Saturday,19:30,Court 3,
Saturday,20:00,Court 3,
Saturday,20:30,Court 3,
Saturday,21:00,Court 3,
Saturday,21:30,Court 3,
Saturday,22:00,Court 3,
Saturday,22:30,Court 3,
Saturday,23:00,Court 3,
Saturday,23:30,Court 3,
Sunday,09:00,Court 3,
Sunday,09:30,Court 3,
Sunday,10:00,Court 3,
Sunday,10:30,Court 3,
Sunday,11:00,Court 3,
Sunday,11:30,Court 3,
Sunday,12:00,Court 3,
Sunday,12:30,Court 3,
Sunday,13:00,Court 3,
Sunday,13:30,Court 3,
Sunday,14:00,Court 3,
Sunday,14:30,Court 3,
Sunday,15:00,Court 3,
Sunday,15:30,Court 3,
Sunday,16:00,Court 3,
Sunday,16:30,Court 3,
Sunday,17:00,Court 3,
Sunday,17:30,Court 3,
Sunday,18:00,Court 3,
Sunday,18:30,Court 3,
Sunday,19:00,Court 3,
Sunday,19:30,Court 3,
Sunday,20:00,Court 3,
Sunday,20:30,Court 3,
Sunday,21:00,Court 3,
Sunday,21:30,Court 3,
Sunday,22:00,Court 3,
Sunday,22:30,Court 3,
Sunday,23:00,Court 3,
Sunday,23:30,Court 3,
